state,total_updates
Uttar Pradesh,8542328
Maharashtra,5054602
Bihar,4814350
West Bengal,3872172
Madhya Pradesh,2912938
Rajasthan,2817615
Andhra Pradesh,2295505
Tamil Nadu,2212228
Chhattisgarh,2005434
Gujarat,1824327
Karnataka,1695285
Telangana,1629908
Delhi,1438934
Jharkhand,1401189
Haryana,1166140
Odisha,1083237
Assam,1012578
Punjab,881895
Kerala,744952
Uttarakhand,463637
Jammu and Kashmir,406776
Manipur,301549
Himachal Pradesh,149214
Tripura,138013
Meghalaya,87378
Chandigarh,83361
Mizoram,41906
Nagaland,36791
Arunachal Pradesh,36443
Goa,35120
Orissa,28758
Puducherry,25304
Sikkim,20340
Pondicherry,7459
Andaman and Nicobar Islands,6187
Dadra and Nagar Haveli,6033
Ladakh,5735
Dadra and Nagar Haveli and Daman and Diu,3740
Daman and Diu,1552
Lakshadweep,1176
Andaman & Nicobar Islands,1059
Daman & Diu,644
Jammu & Kashmir,426
Dadra & Nagar Haveli,235
West Bangal,157
West  Bengal,107
Westbengal,95
andhra pradesh,77
WEST BENGAL,71
West bengal,60
WESTBENGAL,57
ODISHA,50
odisha,20
west Bengal,15
Uttaranchal,5
Chhatisgarh,4
West Bengli,3
100000,2
Jaipur,2
BALANAGAR,2
Darbhanga,2
Madanapalle,2
Raja Annamalai Puram,1
Nagpur,1
Puttenahalli,1
